24.29,-3.71,28.87,-4.95,27.48,-1.55,-5.06,16.08,-4.63,27.78,-5.53,17.56,27.96,27.96,27.96,27.96,27.96,27.96,27.96
24.55,-3.58,29.54,-4.92,27.63,-1.82,-4.96,17.49,-4.65,28.09,-5.48,16.29,28.33,28.33,28.33,28.33,28.33,28.33,28.33
24.86,-2.44,26.65,-4.63,25.8,-4.15,-4.4,17.98,-4.46,26.02,-4.91,16.56,26.12,26.12,26.12,26.12,26.12,26.12,26.12
24.49,-1.77,25.78,-3.79,25.15,-3.44,-3.51,18.36,-3.71,25.3,-4.04,15.74,25.38,25.38,25.38,25.38,25.38,25.38,25.38
27.38,-1.72,30.03,-3.88,28.7,-3.07,-3.67,20.03,-3.72,29.04,-4.21,18.42,29.22,29.22,29.22,29.22,29.22,29.22,29.22
31.12,-3.23,36.46,-3.39,33.86,1.51,-2.87,22.98,-4.07,34.52,-4.01,18.01,34.87,34.87,34.87,34.87,34.87,34.87,34.87
27.56,-1.64,34.85,-3.7,29.72,-2.63,-3.43,19.87,-3.66,31.1,-4.11,17.68,31.84,31.84,31.84,31.84,31.84,31.84,31.84
28.69,-2.39,31.99,-4.67,30.29,-3.6,-4.45,21.82,-4.49,30.72,-5.05,18.5,30.95,30.95,30.95,30.95,30.95,30.95,30.95
30.64,-3.39,37.2,-5,34.17,-1.49,-4.95,23.18,-4.8,34.92,-5.64,19.47,35.35,35.35,35.35,35.35,35.35,35.35,35.35
33.84,-5.71,43.25,-6.29,40.63,1.61,-6.72,24.57,-5.82,41.21,-7.42,23.05,41.53,41.53,41.53,41.53,41.53,41.53,41.53
28.9,-6.95,29.96,-10.23,27.43,-6.38,-7.63,19.82,-3.84,28.2,-9.6,17.21,28.56,28.56,28.56,28.56,28.56,28.56,28.56
29.35,-6.21,40.43,-9.58,33.37,-6.62,-8.72,15.44,-4.99,35.31,-9.72,14.94,36.27,36.27,36.27,36.27,36.27,36.27,36.27
42.79,-6.34,49.57,-9.1,47.48,-4.26,-9.14,28.25,-8.53,47.97,-9.99,32.38,48.16,48.16,48.16,48.16,48.16,48.16,48.16
30.29,-4.29,35.37,-5.85,33.85,-1.9,-5.88,21.31,-5.55,34.2,-6.52,20.93,34.35,34.35,34.35,34.35,34.35,34.35,34.35
29.62,-6.99,32.75,-11.04,30.92,-8.38,-9.75,21.35,-3.55,31.41,-10.76,18.31,31.63,31.63,31.63,31.63,31.63,31.63,31.63
34.83,-5.69,35.39,-9.99,35.03,-5.84,-7.91,25.26,0,35.13,-9.38,23.29,35.13,35.13,35.13,35.13,35.13,35.13,35.13
48.67,-6.78,55.48,-10.02,53.4,-5.93,-10.06,34.64,-9.31,53.87,-10.93,34.2,54.11,54.11,54.11,54.11,54.11,54.11,54.11
49.14,-7.05,55.88,-12.39,53.81,-6.39,-11.16,35,0,54.27,-12.26,34.95,54.52,54.52,54.52,54.52,54.52,54.52,54.52
40.32,-7.57,45.13,-12.24,43.57,-8.21,-11.26,27.16,-3.32,43.91,-12.18,29.16,44.11,44.11,44.11,44.11,44.11,44.11,44.11
40.24,-6.56,44.53,-10.87,43.11,-6.93,-9.89,27.15,-3.17,43.43,-10.87,29.43,43.6,43.6,43.6,43.6,43.6,43.6,43.6
50.84,-6.05,57.87,-10.42,55.69,-5.02,-9.77,35.52,-3.18,56.18,-10.8,36.74,56.44,56.44,56.44,56.44,56.44,56.44,56.44
72.4,-7.5,87.37,-11.44,83.12,0.19,-11.36,53.79,-2.98,84.05,-12.64,50.15,84.55,84.55,84.55,84.55,84.55,84.55,84.55
74.74,-11.56,89.86,-17.56,85.49,-4.07,-16.48,55.34,0,86.46,-18.02,49.72,86.98,86.98,86.98,86.98,86.98,86.98,86.98
79.82,-8.26,95.94,-13.06,91.28,0.62,-12.61,59.5,0,92.31,-14.07,53.4,92.86,92.86,92.86,92.86,92.86,92.86,92.86
170.22,-6.07,203.83,-10.84,194.25,13.78,-12.66,134.25,-8.41,196.39,-15.05,111.32,197.54,197.54,197.54,197.54,197.54,197.54,197.54
120.08,-8.99,153.34,-9.31,144.15,16.22,-11.35,92.97,-7.28,146.17,-13.25,79.55,147.27,147.27,147.27,147.27,147.27,147.27,147.27
78.66,-5.12,96.19,-7.14,91.18,5.05,-8.07,59.06,-5.89,92.29,-9.34,53.5,92.89,92.89,92.89,92.89,92.89,92.89,92.89
69.13,-5.88,84.94,-6.95,80,5.64,-7.96,48.83,-5.77,81.07,-9.07,35.77,81.66,81.66,81.66,81.66,81.66,81.66,81.66
83.25,-4.88,95.46,-6.75,90.1,5.97,-7.56,44.38,-5.72,91.29,-8.94,33.35,91.93,91.93,91.93,91.93,91.93,91.93,91.93
73.27,-3.85,87.57,-5.95,83.16,6.18,-7.39,50.93,-4.41,84.17,-7.58,48.86,84.63,84.63,84.63,84.63,84.63,84.63,84.63
71.66,-2.05,83.48,-4.15,80,6.33,-4.95,52.91,-3.27,80.76,-5.52,50.66,81.2,81.2,81.2,81.2,81.2,81.2,81.2
46.7,-0.22,51.62,-2.55,50.01,2.22,-2.16,32.97,0,50.38,-3.07,34.56,50.57,50.57,50.57,50.57,50.57,50.57,50.57
36.63,-0.3,40.57,-2.51,39.27,-0.4,-2.46,24.78,-2.14,39.54,-3.09,28.77,39.71,39.71,39.71,39.71,39.71,39.71,39.71
42.46,-0.25,47.95,-2.31,46.24,1.35,-2.43,29.44,-1.88,46.61,-3.05,32.6,46.82,46.82,46.82,46.82,46.82,46.82,46.82
38.43,-0.3,42.62,-2.51,41.31,-0.08,-2.51,29.19,-2.17,41.6,-3.12,26.25,41.76,41.76,41.76,41.76,41.76,41.76,41.76
45.95,-0.45,51.78,-2.83,50,1.14,-3.08,34.92,-2.27,50.4,-3.59,31.6,50.61,50.61,50.61,50.61,50.61,50.61,50.61
49.31,-0.33,55.76,-2.75,53.86,1.77,-3.03,38.96,-2.14,54.26,-3.58,32.11,54.5,54.5,54.5,54.5,54.5,54.5,54.5
49.81,-0.41,56.2,-2.83,54.2,1.71,-3.11,35.1,-2.19,54.6,-3.66,37.84,54.89,54.89,54.89,54.89,54.89,54.89,54.89
50.78,-0.4,57.27,-2.84,55.3,2,-3.16,37.94,-2.18,55.72,-3.67,35.91,55.97,55.97,55.97,55.97,55.97,55.97,55.97
50.69,-0.01,57.43,-2.46,55.37,2.38,-2.85,37.32,-1.7,55.84,-3.29,36.94,56.08,56.08,56.08,56.08,56.08,56.08,56.08
50.77,-0.03,57.41,-2.47,55.42,2.21,-2.8,38.69,-1.79,55.86,-3.32,35.29,56.1,56.1,56.1,56.1,56.1,56.1,56.1
50.32,0.2,56.82,-2.2,54.91,2.39,-2.5,39.89,-1.56,55.33,-3.04,33.14,55.56,55.56,55.56,55.56,55.56,55.56,55.56
40.91,0.22,46.09,-2.22,44.55,0.61,-2.43,32.33,-1.56,44.89,-2.89,27.45,45.07,45.07,45.07,45.07,45.07,45.07,45.07
28.89,0.15,31.26,-2.11,30.49,-1.04,-2.03,22.76,-1.67,30.66,-2.43,19.57,30.76,30.76,30.76,30.76,30.76,30.76,30.76
23.75,0.41,23.45,-2.1,23.75,-0.81,-0.91,19.15,0,23.7,-1.89,16.03,23.67,23.67,23.67,23.67,23.67,23.67,23.67
